Transaction ID,creditLimit,availableMoney,transactionAmount,cardPresent,CVVcorrect,account_age,isFraud
151,5000,311.82,404.88,0,1,36,1
152,5000,3415.72,396.67,0,1,20,1
153,20000,17904.06,634.55,0,1,26,1
154,7500,2399.98,740.57,0,1,16,1
155,50000,29009.95,388.91,1,1,56,1
156,7500,4591.89,469.91,0,1,12,1
157,2500,1497.47,555.12,0,1,14,1
158,5000,2819.57,673.04,0,1,25,1
159,5000,1449.95,353.96,0,1,23,1
160,20000,3830.46,454.82,0,1,30,1
161,2500,923.79,525.63,0,1,26,1
162,7500,3434.99,408.46,0,1,68,1
163,5000,4994.63,383.66,0,1,15,1
164,50000,31871.09,698.83,0,0,19,1
165,15000,1245.62,471.2,0,1,27,1
166,15000,8157.49,402.75,0,1,37,1
167,7500,7105.57,858.06,0,1,8,1
168,5000,887.69,809.68,0,1,13,1
169,7500,3266.14,496.54,0,1,9,1
170,20000,1295.75,800.32,0,1,16,1
171,5000,474.83,922.15,0,1,92,1
172,15000,12263.75,628.25,0,1,118,1
173,15000,4319.89,435.06,0,1,25,1
174,1000,260.95,473.89,0,1,18,1
175,5000,600.43,477.72,0,1,32,1
176,2500,1651.93,439.84,0,1,17,1
177,15000,10571.86,408.04,0,1,13,1
178,7500,5540.44,541.22,0,1,15,1
179,20000,4090.08,372.51,1,1,47,1
180,5000,1067.6,439.77,0,1,29,1
181,2500,463.5,306.6,1,1,6,1
182,5000,1415.8,612.32,0,1,25,1
183,10000,9427.24,572.76,0,1,59,1
184,500,199.93,449.84,1,1,12,1
185,5000,2290.9,520.61,0,1,29,1
186,10000,9812.84,407.76,1,1,26,1
187,2500,332.34,366.55,0,1,42,1
188,7500,3563.75,383.12,0,1,28,1
189,20000,19677.98,312.08,0,1,40,1
190,5000,2181.93,542.12,0,1,27,1
191,20000,13151.9,331.6,0,1,8,1
192,7500,5721.89,312.49,0,1,22,1
193,500,327.36,1028.01,0,1,4,1
194,500,119.23,480.24,0,0,10,1
195,5000,5000,531.26,1,1,16,1
196,5000,2413.58,497.34,0,1,21,1
197,7500,3206.04,404.47,0,1,25,1
198,5000,1273.92,399.66,0,1,31,1
199,15000,10764.16,383.45,0,1,108,1
200,250,84,367.21,0,1,10,1
201,50000,49607.47,339.54,1,1,9,1
202,2500,1186.06,372.23,0,1,21,1
203,5000,2149.88,307.45,0,1,27,1
204,15000,7625.85,354.75,0,1,13,1
205,5000,3041.8,333.9,0,1,13,1
206,15000,14406.8,431.69,0,1,31,1
207,15000,13782.89,489.1,1,1,67,1
208,20000,18919.13,731.09,0,1,26,1
209,20000,16037.39,382.62,1,1,9,1
210,2500,357.51,551.85,0,1,21,1
211,50000,41326.6,360.88,0,0,22,1
212,1000,444.37,471.84,0,1,32,1
213,250,250,347.04,0,1,22,1
214,15000,1503.6,597.67,0,1,22,1
215,5000,2143.29,764.18,0,1,18,1
216,50000,49823.85,629.72,0,1,13,1
217,15000,3518.57,741.7,1,1,21,1
218,5000,3379.11,609.56,1,1,16,1
219,15000,12335.87,369.89,0,1,13,1
220,15000,10120.98,468.08,0,1,65,1
221,5000,3383.59,628.65,0,1,30,1
222,250,115.18,481.81,0,1,26,1
223,15000,937.63,368.9,0,1,25,1
224,5000,3372.98,371.83,1,1,28,1
225,2500,185.45,468.96,1,1,28,1
226,5000,4887.55,678.78,0,1,9,1
227,15000,8041.88,305.33,0,1,22,1
228,250,250,353.59,0,1,27,1
229,5000,2571.45,633.94,0,1,16,1
230,50000,46490.73,690.03,0,1,19,1
231,2500,2137.34,874.92,0,1,18,1
232,7500,4229.14,386.94,0,1,16,1
233,50000,41110.78,369.47,0,1,48,1
234,5000,4681.8,474.82,0,1,24,1
235,5000,1606.97,483.98,0,1,25,1
236,15000,11485.69,789.59,0,1,11,1
237,5000,2420.14,431.41,1,1,39,1
238,5000,5000,351.05,0,1,59,1
239,15000,8685.94,374.02,0,1,28,1
240,15000,9680.4,386.67,1,1,25,1
241,2500,192.43,365.36,1,1,6,1
242,15000,11385.45,425.53,0,1,21,1
243,10000,1210.73,336.42,0,1,3,1
244,500,370.33,514.75,0,1,40,1
245,2500,1034.11,486.02,0,1,44,1
246,15000,11803.74,514.8,1,1,13,1
247,15000,3547.36,380.9,1,1,27,1
248,50000,50000,592.96,0,1,38,1
249,15000,4377.7,305,1,1,16,1
250,5000,1914.83,652.22,0,1,26,1
251,5000,1744.43,393,0,1,54,1
252,15000,4666.17,349.22,0,1,28,1
253,5000,649.78,662.53,1,1,46,1
254,5000,1367.35,392.76,0,1,45,1
255,5000,3377.96,767.53,0,1,5,1
256,5000,2989.3,480.34,0,0,1,1
257,2500,2072.93,878.27,0,1,25,1
258,15000,12389.08,831.09,1,1,65,1
259,5000,5000,427.74,0,1,37,1
260,1000,143.15,469.5,0,1,36,1
261,15000,15000,583.73,1,1,39,1
262,5000,1042,623,0,1,31,1
263,2500,410.73,331.09,0,1,14,1
264,10000,6411.48,387.89,1,1,69,1
265,15000,15000,598.17,0,1,21,1
266,15000,14341.98,420.69,0,1,21,1
267,20000,19222.72,414.88,0,1,19,1
268,7500,4555.14,499.51,0,1,24,1
269,5000,1768.1,461.45,1,1,45,1
270,10000,8737.1,409.2,0,1,35,1
271,15000,12933.81,329.19,0,1,12,1
272,7500,2101.62,709.7,0,1,53,1
273,5000,3470.76,405.95,1,1,16,1
274,20000,16176.28,410.65,0,1,96,1
275,15000,12447.45,355.32,1,1,35,1
276,15000,10338.63,324.16,0,1,30,1
277,7500,2945.66,418.13,0,1,24,1
278,10000,8509.61,617.79,0,1,17,1
279,7500,6774.97,431.22,0,1,39,1
280,15000,9622.34,453.75,0,1,21,1
281,2500,391.77,343.76,1,1,10,1
282,250,110.3,417.24,0,1,14,1
283,10000,2374.52,530.04,0,1,24,1
284,5000,3069.35,656.9,0,1,44,1
285,2500,962.54,475.8,0,1,12,1
286,20000,9910.12,843.78,0,1,28,1
287,15000,4928.61,468.13,1,1,17,1
288,10000,6708.94,419.71,1,1,32,1
289,5000,1668.53,315.82,1,1,17,1
290,500,500,569.83,0,1,33,1
291,5000,3228.59,594.26,0,1,62,1
292,10000,9440.1,377.22,0,1,13,1
293,15000,8669.91,625.88,0,1,20,1
294,5000,4779.4,392.94,0,1,18,1
295,5000,404.47,424.56,1,1,25,1
296,5000,591.87,314.73,0,1,5,1
297,5000,1373.27,336.47,1,1,41,1
298,5000,1407.71,471.47,0,1,21,1
299,5000,815.23,772.69,0,1,27,1
300,15000,12688.47,309.75,1,1,26,1
301,15000,10707.67,709.4,1,1,32,1
302,250,237.25,1080.48,1,1,88,1
303,7500,7155.09,381.95,0,1,96,1
304,500,443.35,873.31,0,1,29,1
305,50000,6470.5,464.53,0,1,14,1
306,5000,2407.51,418.48,0,1,3,1
307,2500,682.55,498.37,0,1,14,1
308,50000,29243.17,350.42,0,1,21,1
309,2500,848.76,358.09,0,1,20,1
310,5000,4002.43,505.11,0,1,58,1
311,20000,3634.35,308.59,1,1,22,1
312,2500,1576.71,1001.08,0,1,9,1
313,7500,1623.46,506.37,0,1,17,1
314,500,-48.97,447.78,0,1,16,1
315,5000,3687.57,365.51,0,1,46,1
316,5000,1093.68,443.05,0,1,47,1
317,20000,20000,345.54,0,1,26,1
318,500,-255.03,338.78,1,1,12,1
319,10000,6650.47,422.87,1,1,8,1
320,1000,877.86,304.91,0,1,22,1
321,2500,892.18,378.7,0,1,82,1
322,15000,8614.02,301.55,0,1,71,1
323,500,497.25,379.57,1,1,20,1
324,2500,1135.88,407.38,0,1,81,1
325,15000,11288.94,514.8,1,1,13,1
326,50000,46662.16,366.74,0,1,67,1
327,10000,3403.51,402.45,1,1,27,1
328,50000,12793.41,400.49,0,1,13,1
329,2500,2131.32,341.73,0,1,79,1
330,50000,49766.11,496.74,0,1,25,1
331,5000,2725.87,341.91,0,1,11,1
332,5000,1506.62,366.52,0,1,13,1
333,15000,14295.21,437.49,0,1,19,1
334,50000,21942.54,400.49,0,1,13,1
335,5000,900.16,302.61,0,1,25,1
336,20000,20000,314.25,0,1,38,1
337,2500,459.99,307.22,0,1,72,1
338,2500,767.21,307.22,0,1,72,1
339,15000,2143.08,410.05,0,1,30,1
340,15000,2235.13,649.89,1,1,25,1
341,500,5.96,332.44,0,1,20,1
342,5000,342.35,302.61,0,1,13,1
343,7500,1650.53,817.21,0,1,56,1
344,5000,1968.03,1185,0,1,10,1
345,15000,975.71,497.02,1,1,10,1
346,2500,1195.06,375.16,0,1,20,1
347,20000,14153.53,324.42,0,1,97,1
348,2500,1186.36,314.5,1,1,9,1
349,10000,6209,369.52,0,1,10,1
350,15000,4595.23,472.97,0,1,33,1
351,500,108.16,412.02,0,1,48,1
352,15000,13586.94,463.41,0,1,14,1
353,5000,1467.3,313.29,1,1,23,1
354,15000,4591.01,310,0,1,17,1
355,15000,2724.06,310.33,1,0,8,1
356,15000,4411.69,326.36,1,1,26,1
357,5000,2438.62,340.73,0,1,10,1
358,5000,1370.95,447.85,0,1,14,1
359,50000,18917.47,355.32,0,1,24,1
360,15000,2404.99,493.61,1,1,26,1
361,15000,2015.5,462.97,0,1,21,1
362,1000,395.43,544.21,0,1,113,1
363,5000,3922.76,738.09,0,1,20,1
364,10000,4664.64,377.69,1,1,28,1
365,5000,2085.75,481.83,0,1,10,1
366,250,189.69,302.53,0,1,48,1
367,50000,37100.53,464.98,1,1,18,1
368,2500,1512.59,458.4,0,1,16,1
369,5000,4351.18,461.69,0,1,13,1
370,5000,698.14,346.75,0,1,19,1
371,5000,4865.17,493.59,0,1,24,1
372,5000,1749.69,377.47,1,1,25,1
373,1000,779.05,404.38,0,1,36,1
374,5000,3356.81,330.64,0,1,30,1
375,7500,4857.2,540.66,0,1,32,1
376,5000,622.38,763.27,1,1,20,1
377,10000,3220.48,480.16,0,1,18,1
378,5000,1852.84,486.98,0,1,19,1
379,2500,624.18,335.92,0,1,13,1
380,15000,5731.08,307.45,0,1,28,1
381,50000,48255.37,381.24,0,1,31,1
382,15000,12162.09,609.55,1,1,5,1
383,10000,8363.67,454.08,1,1,34,1
384,7500,6525.31,423.84,0,1,19,1
385,10000,5227.06,680.98,0,1,8,1
386,20000,17061.73,466.3,1,1,23,1
387,2500,531.76,500.26,0,1,77,1
388,5000,713.45,556.7,0,1,21,1
389,50000,49497.61,321.17,0,1,4,1
390,5000,821.21,324.86,0,1,29,1
391,15000,2161.01,413.12,0,1,21,1
392,7500,6980.5,452.53,0,1,34,1
393,2500,2299.22,308.28,0,1,77,1
394,5000,4909.77,393.52,0,1,74,1
395,2500,945.44,334.4,1,1,13,1
396,5000,3714.37,645.11,0,1,23,1
397,2500,1022.7,300.6,1,1,85,1
398,5000,2256.48,304.04,0,1,19,1
399,5000,2723.75,421.5,0,1,21,1
400,20000,16514.66,341.56,0,1,33,1
401,10000,584.95,478.39,0,1,9,1
402,15000,4453.2,326.39,0,0,15,1
403,7500,6483.33,467.91,0,1,23,1
404,15000,996.58,374.2,0,1,17,1
405,5000,1880.61,351.26,0,1,23,1
406,10000,7839.19,602.11,0,1,11,1
407,15000,4963.46,408.69,0,1,19,1
408,5000,1216.51,1045.82,1,1,26,1
409,50000,48406.29,678.21,0,1,19,1
410,500,78.27,305.14,0,1,32,1
411,1000,343.39,356.7,1,1,19,1
412,500,255.19,526.51,0,1,29,1
413,7500,1336.74,524.28,0,1,95,1
414,15000,13207.53,682.71,0,1,20,1
415,5000,4735.23,314.16,0,1,32,1
416,5000,559.02,318.36,0,1,20,1
417,5000,4327.38,565.02,0,1,21,1
418,7500,3788.71,431.88,0,1,23,1
419,5000,4425.4,315.85,0,1,17,1
420,20000,17534.67,499.01,1,1,21,1
421,20000,8001,759.92,0,1,39,1
422,7500,1775.78,425.16,1,1,47,1
423,15000,6496.63,666,0,1,28,1
424,15000,14903.98,468.92,0,1,10,1
425,5000,1220.1,382.48,0,1,7,1
426,7500,2952.95,419.38,1,1,17,1
427,15000,2575.62,1116.36,0,1,25,1
428,5000,2872.03,406.14,1,1,22,1
429,5000,318.99,300.11,1,1,17,1
430,20000,1959.66,495.55,0,1,38,1
431,5000,607.79,599.06,0,1,13,1
432,20000,19993.17,495.92,0,1,5,1
433,5000,1739.45,785.14,0,1,14,1
434,10000,9826.5,393.22,0,1,29,1
435,10000,6175.51,495.99,1,1,15,1
436,10000,10000,379.9,0,1,39,1
437,7500,4569.53,369.65,0,1,10,1
438,5000,1671.2,355.18,0,1,15,1
439,50000,14773.25,344.82,0,1,11,1
440,15000,6408.29,314.65,1,1,30,1
441,2500,1248.45,412.99,0,1,31,1
442,500,412.56,456.08,0,1,53,1
443,15000,1852.29,406.93,0,1,38,1
444,7500,7367.9,324.34,0,1,30,1
445,15000,4789.09,395.21,1,1,49,1
446,50000,31452.63,496.33,0,1,27,1
447,15000,1651.2,340.54,1,1,29,1
448,5000,851.73,652.52,0,1,28,1
449,15000,5113.02,315.35,0,1,31,1
450,250,214.33,591.68,0,1,18,1
451,15000,8763.81,773.95,0,1,124,1
452,20000,16856.53,456.52,0,1,72,1
453,1000,617.27,333.24,1,1,55,1
454,7500,5019.5,351.78,0,1,37,1
455,15000,4994.03,445.82,0,1,28,1
456,5000,3462.91,591.25,1,1,48,1
457,250,244.65,632.83,0,1,51,1
458,2500,243.68,385.41,0,1,38,1
459,2500,1840.15,444.72,0,1,28,1
460,5000,3261.25,409.37,0,1,29,1
461,15000,5475.3,314.15,0,1,24,1
462,5000,4881.79,308.88,0,1,28,1
463,10000,5858.26,540.96,1,1,10,1
464,1000,208.72,322.16,0,1,32,1
465,15000,6948.04,452.96,0,1,6,1
466,7500,4712.57,408.19,0,1,7,1
467,2500,2231.88,557.99,0,1,57,1
468,1000,92.3,310.73,0,1,32,1
469,15000,2336.46,365.69,0,1,5,1
470,15000,12047.23,444.95,1,1,14,1
471,10000,7535.86,736.11,0,1,35,1
472,5000,1918.46,339.19,0,1,8,1
473,2500,2114.53,349.92,0,1,29,1
474,20000,19650.22,731.09,0,1,26,1
475,7500,5835.56,359.16,0,1,23,1
476,50000,49923.48,308.26,0,1,7,1
477,15000,8680.36,329.83,0,1,18,1
478,20000,8902.56,713.63,0,1,24,1
479,15000,14633.03,452.06,0,1,17,1
480,500,99.27,381.74,0,1,29,1
481,5000,4995.41,301.63,1,1,32,1
482,15000,7607.36,544.13,0,1,35,1
483,15000,13901.74,318.74,0,1,8,1
484,5000,4601.19,318.2,0,1,13,1
485,20000,16900.94,1493.69,0,1,9,1
486,2500,929.87,355.28,1,1,24,1
487,50000,33903.91,541.42,1,1,19,1
488,15000,12705.67,621.36,1,1,9,1
489,2500,494.1,415.87,1,1,37,1
490,7500,5419.9,490.9,0,1,16,1
491,50000,6038.55,376.04,1,1,15,1
492,5000,1508.26,427.15,0,1,39,1
493,250,250,312.59,0,1,21,1
494,1000,1000,482.64,0,1,6,1
495,5000,2553.5,352.16,0,1,4,1
496,5000,1806.82,775.23,0,1,26,1
497,250,214.2,527.79,0,1,5,1
498,5000,4501.71,426.28,0,1,78,1
499,15000,11799.57,305.98,0,1,59,1
500,5000,4890.95,349.34,0,1,40,1
501,15000,3413.13,335.14,0,1,28,1
502,5000,3062.61,563.9,1,1,20,1
503,500,242.9,462.7,0,1,34,1
504,20000,14350.08,397.55,0,1,19,1
505,2500,996.53,462.65,0,1,47,1
506,50000,41674.06,822.62,0,1,43,1
507,50000,49938.92,412.38,0,1,42,1
508,15000,12949.92,579.99,0,1,116,1
509,2500,1603.53,300.85,0,1,22,1
510,5000,543.61,407.32,0,1,35,1
511,5000,353.4,621.39,0,1,20,1
512,5000,3764.79,303.15,0,1,27,1
513,10000,9757.55,363.14,0,1,22,1
514,5000,1589.09,422.73,0,1,43,1
515,7500,1119.31,375.48,0,1,100,1
516,15000,10321.46,655.22,1,1,2,1
517,5000,998.98,502.26,0,1,27,1
518,5000,3153.21,421.9,0,1,27,1
519,15000,13620.86,303.14,0,1,18,1
520,2500,1690.84,554.96,0,1,81,1
521,7500,1772.57,353.39,0,1,16,1
522,5000,571.83,572.19,1,1,49,1
523,5000,4816.21,339.63,0,1,30,1
524,2500,621.38,580.02,0,1,77,1
525,2500,583.64,419.94,0,1,37,1
526,20000,9590.04,701.86,0,1,22,1
527,5000,1243.79,355.04,0,1,22,1
528,20000,10197.88,312.77,0,1,23,1
529,250,35.87,418.12,0,1,16,1
530,20000,10578.89,406.05,0,1,24,1
531,500,500,319.44,0,1,31,1
532,15000,14606.84,362.98,0,1,4,1
533,15000,14360.96,493.09,0,1,24,1
534,500,157.33,410.26,0,1,53,1
535,1000,697.42,372.69,0,1,35,1
536,7500,4587.81,456.11,1,1,7,1
537,15000,12933.66,644.75,0,1,36,1
538,5000,3194.78,326.83,0,1,19,1
539,7500,5117.93,862.23,0,1,14,1
540,7500,6153,462.37,0,1,19,1
541,15000,12857.58,387.97,0,1,25,1
542,5000,4264.08,398.03,0,1,18,1
543,15000,11772.77,491.45,0,1,11,1
544,7500,3538.9,441.27,0,1,33,1
545,15000,12355.48,313,1,1,72,1
546,15000,14685.54,393.01,0,1,81,1
547,7500,6758.63,477.23,0,1,14,1
548,5000,2264.25,429.33,0,1,40,1
549,5000,461.56,374.53,0,1,39,1
550,7500,6808.68,449.33,0,1,8,1
551,5000,1419.05,562.14,0,1,19,1
552,50000,49183.96,415.12,0,1,31,1
553,5000,2252.53,500.19,0,1,26,1
554,5000,1093.16,827.33,0,1,24,1
555,5000,2104.51,387.8,0,1,30,1
556,50000,33006.82,473.99,0,1,45,1
557,20000,8341.43,549.9,0,1,22,1
558,5000,3031.18,306.27,0,1,16,1
559,7500,2794.42,340.13,0,1,60,1
560,5000,4760.08,374.21,0,1,49,1
561,15000,12612.09,523.7,0,1,36,1
562,10000,9935.27,318.93,1,1,36,1
563,2500,1011.41,305.81,1,1,23,1
564,15000,6868.21,373.46,0,1,10,1
565,1000,1000,522.67,0,1,114,1
566,2500,429.99,445.06,0,1,9,1
567,250,-14.95,303.31,0,1,20,1
568,15000,12695.95,990.69,1,1,26,1
569,20000,19860.05,355.18,0,1,20,1
570,1000,741.86,360.41,0,1,31,1
571,5000,1337.46,310.71,1,1,16,1
572,5000,4355.38,539.2,0,1,9,1
573,7500,2129.83,506.37,0,1,17,1
574,15000,14701.84,562.7,1,1,4,1
575,2500,2008.6,414.88,0,1,75,1
576,20000,12820.3,397.65,0,1,8,1
577,10000,1710.37,322.75,1,1,26,1
578,20000,5646.23,408.69,0,1,20,1
579,15000,3292.86,860.39,0,1,15,1
580,5000,3234.42,424.5,0,1,29,1
581,20000,2540.15,796.56,0,1,22,1
582,5000,1191.4,327.67,0,1,13,1
583,20000,13577.85,325.71,0,1,23,1
584,5000,4801.88,412.47,0,1,24,1
585,7500,1009.23,518.12,0,1,32,1
586,500,467.16,885.33,0,1,70,1
587,20000,11308.49,364.63,1,1,62,1
588,20000,1948.74,331.27,0,1,24,1
589,10000,9308.16,505.95,0,1,13,1
590,5000,1289.74,393.65,0,1,24,1
591,5000,4507.8,394.54,0,1,29,1
592,5000,2864.7,434.79,1,1,16,1
593,5000,768.43,346.46,0,1,33,1
594,15000,5811.76,750.81,0,1,14,1
595,1000,210.02,720.88,1,1,11,1
596,10000,609.77,503.1,0,1,16,1
597,50000,10739.5,327.39,0,1,15,1
598,15000,10939.64,307.09,0,1,69,1
599,7500,3485.35,545.94,0,1,13,1
600,15000,4011.15,305.87,0,1,8,1
601,7500,1979.32,315.88,0,1,63,1
602,7500,6631.44,1163.16,0,1,10,1
603,250,76.27,529.49,0,1,28,1
604,15000,7504.45,316.38,0,1,28,1
605,5000,3480.33,624.41,0,1,15,1
606,15000,8737.42,395.15,0,1,16,1
607,15000,2426.75,318.67,0,1,26,1
608,7500,4270.27,714.3,0,1,20,1
609,15000,13284.02,444.09,0,1,10,1
610,250,99.68,502.13,0,1,33,1
611,15000,8530.21,425.65,0,1,42,1
612,7500,7370.24,376.19,0,1,30,1
613,7500,2871.81,453.84,0,1,41,1
614,5000,2411.9,480.47,0,1,26,1
615,5000,4524.75,591.09,0,1,36,1
616,5000,1267.88,425.36,0,1,40,1
617,20000,8864.87,409.56,0,1,26,1
618,20000,19097.44,460.5,0,1,90,1
619,5000,5000,313.63,0,1,12,1
620,250,250,472.43,1,1,7,1
621,250,111.26,441.11,0,1,2,1
622,5000,2375.78,385.55,1,1,22,1
623,7500,3961.35,792.39,0,1,75,1
624,5000,2768.27,960.24,0,1,30,1
625,15000,828.71,332.79,1,1,40,1
626,10000,4628.98,343.06,1,1,11,1
627,5000,1665.33,332.02,0,1,19,1
628,15000,13801.84,671.74,0,1,15,1
629,5000,878.36,498.85,0,1,29,1
630,500,64.5,692.62,0,1,71,1
631,15000,6366.87,491.04,0,1,25,1
632,20000,19392.38,415.59,0,1,10,1
633,15000,13644.67,337.19,0,1,47,1
634,250,114.85,650.29,1,1,54,1
635,15000,14859.17,698.68,0,1,43,1
636,7500,4663.03,508.79,1,1,21,1
637,5000,4559.8,315.65,0,1,19,1
638,7500,5500.08,439.65,1,1,105,1
639,15000,12609.28,311.18,1,1,72,1
640,2500,441.69,456.7,0,1,20,1
641,2500,279.11,365.47,0,1,12,1
642,10000,2872.67,307.17,1,1,19,1
643,2500,2363.6,818.87,0,1,8,1
